nom,nbre de pers. max,chambres,prix,url
La Baraque de Laurent,30,5,,http://www.baraquelaurent.be
Ferme Château de Dourbes,25/43,8,"1,752.00€",https://www.gitesdewallonie.be/hebergement/gite-rural/viroinval/ferme-chateau-de-dourbes
La Ferme de la Galoperie,28/30,8,820€,https://www.gitesdewallonie.be/hebergement/gite-rural/couvin/la-ferme-de-la-galoperie
Le Soudard,28/30,11,950€,https://www.gitesdewallonie.be/hebergement/gite-rural/daverdisse/le-soudard
Le Grand Gite des petits Chevreaux,48,13,"1,550€",https://www.gitesdewallonie.be/hebergement/gite-a-la-ferme/andenne/le-grand-gite-des-petits-chevreaux
Le Lamier Jaune,35,8,"1,125€",http://www.lamierjaune.be/gites/gite-le-lamier-jaune/
Cornimont,51,11,918€,http://www.gitesdetape.be/gites/cornimont
Le Refuge des Randonneurs,20,9,900€,http://www.durbuyadventure.be/fr/location-refuge-des-randonneurs-en-ardennes.php#
La reposee,20,9,"1,047€",http://fr.ardennes-relais.be/location-de-vacances/rendeux-marcourt-20-personnes-BE-6987-25
Die Alte Molkerei,20,7,"1,105€",http://fr.ardennes-relais.be/location-de-vacances/ambleve-heppenbach-20-personnes-BE-4770-38
La Ferme du chateau,34,9,600€,http://www.ajtilff.be/fr/presentation.php
Champs d’Esterne,22,7,590€,http://www.maisonvac.be/20-personnes/
Coin Tranquille,40,16,"1,770€",http://www.maisonvac.be/40-personnes/
Ferme Chateau de Dourbes,33,4 + 1 dortoir,"1,420€",http://www.dourbes.com/index.html
SEMAUVERT,,,,http://www.semauvert.be/
